id,name,category,source,modified,has_density,has_embedding,aliases
ed137281-f99b-43cb-a581-f13f77b6a66f,"Bette ou blette, côte, sans feuille",,ciqual,False,False,False,"Bette ou blette, côte (sans feuille), crue (llm); Bette ou blette, côte (sans feuille), cuite (llm)"
92cc5354-12c3-4377-8ca3-8b65aa552e35,Betterave rouge,,ciqual,False,False,False,"Betterave rouge, crue (llm); Betterave rouge, cuite (llm)"
6ae217db-8221-4abb-9b57-69fbcfb8e916,Beurre de cacahuète ou pâte d'arachide,,ciqual,False,False,False,beurre de cacahuète (user)
b0eac7b4-5f11-4885-9420-199a129a53a0,"Beurre ou assimilé allégé (léger ou à teneur réduite en matière grasse), doux (aliment moyen)",,ciqual,False,False,False,
6335040b-b023-4574-9ad5-482125558c42,"Beurre ou assimilé sans précision sur la teneur en matière grasse, doux (aliment moyen)",,ciqual,False,False,False,
ef79c874-4bb2-45e5-a913-96dadb08a6d8,"Beurre sans précision sur la teneur en matière grasse (allégé ou non), demi-sel (aliment moyen)",,ciqual,False,False,False,
91accf95-bddc-4070-9765-c451eae172ca,"Beurre à 39-41% MG, léger, demi-sel",,ciqual,False,False,False,
03b298de-411a-471e-a46e-f5b0dda81e3b,"Beurre à 39-41% MG, léger, doux",,ciqual,False,False,False,
03b51749-039b-4cb3-886d-718a6a45c125,"Beurre à 60-62% MG, à teneur réduite en matière grasse, demi-sel",,ciqual,False,False,False,
97a649cc-286c-42eb-806e-d3f5adbbd10a,"Beurre à 60-62% MG, à teneur réduite en matière grasse, doux",,ciqual,False,False,False,
847dc20f-8591-49e8-9ebf-356b35b60f45,"Beurre à 80% MG minimum, doux",,ciqual,True,False,False,beurre doux (user)
a070dd50-6848-47c4-9285-87e173dc8a69,"Beurre à 80% MG minimum, doux, tendre",,ciqual,False,False,False,
0b0ee814-4e93-4315-8b8e-f26078acb1d0,"Beurre à 80% MG, demi-sel",,ciqual,False,False,False,
c9c1467a-5c16-4bc6-bdcc-8cd951fc7930,"Beurre à 80% MG, salé",,ciqual,False,False,False,
fcc5ac06-8faf-42e0-b4e3-76ab5bf0a31d,"Beurre à 82% MG, doux",Produits Laitiers,user,False,False,False,
ad5a7a8f-116d-4c23-a61d-44482ea8c2e4,Bicarbonate de soude,,ciqual,False,False,False,
07ac1c2b-a369-4291-8c8c-02d72b26a517,Bigorneau,,ciqual,False,False,False,"Bigorneau, cru (llm); Bigorneau, cuit (llm)"
f16c71b1-900c-4bd4-b177-38df59f7f36d,Biscotte au blé complet,,ciqual,False,False,False,
